otu,genus,dx,statistic,estimate,p.value,bh,scfa,model
Otu00001,Blautia,normal,544803.1594944044,0.3346362571132267,8.188189018327617e-6,0.004274234667567016,acetate,norm_reg
Otu00043,Ruminococcaceae_unclassified,normal,1050995.6019737641,-0.2835725257830182,1.787676373003959e-4,0.031105568890268886,acetate,norm_reg
Otu00693,Proteobacteria_unclassified,normal,1055783.9993117754,-0.2894205571677938,1.2919107733969733e-4,0.031105568890268886,acetate,norm_reg
Otu00435,Ruminococcaceae_unclassified,normal,1034806.831000632,-0.26380130922580103,5.090447256233349e-4,0.039577985089494894,acetate,norm_reg
Otu00482,Lachnospiraceae_unclassified,normal,1042716.9167728863,-0.27346183373683153,3.082997303651362e-4,0.039577985089494894,acetate,norm_reg
Otu00594,Ruminococcaceae_unclassified,normal,1034135.0138907931,-0.2629808243608588,5.307392636522304e-4,0.039577985089494894,acetate,norm_reg
Otu00728,Clostridium_IV,normal,1035589.7211448587,-0.2647574466995913,4.847982397293829e-4,0.039577985089494894,acetate,norm_reg
Otu00728,Clostridium_IV,normal,1084848.7610181647,-0.32491711826157,1.5390304435959328e-5,0.008033738915570769,butyrate,norm_reg
Otu00107,Roseburia,normal,583813.1299323054,0.28699369210946996,1.4795942498038056e-4,0.02460908149538987,butyrate,norm_reg
Otu00254,Ruminococcaceae_unclassified,normal,1038983.0770042565,-0.26890172508015536,3.9154595047247154e-4,0.02460908149538987,butyrate,norm_reg
Otu00392,Firmicutes_unclassified,normal,1045968.7993804156,-0.2774333319659938,2.4950575730316605e-4,0.02460908149538987,butyrate,norm_reg
Otu00416,Ruminococcaceae_unclassified,normal,1043679.2111657886,-0.2746370761851585,2.8968413700384513e-4,0.02460908149538987,butyrate,norm_reg
Otu00482,Lachnospiraceae_unclassified,normal,1037713.5295201509,-0.26735123688808793,4.242945085412046e-4,0.02460908149538987,butyrate,norm_reg
Otu00594,Ruminococcaceae_unclassified,normal,1052524.060693984,-0.2854392201977076,1.612862994244062e-4,0.02460908149538987,butyrate,norm_reg
Otu00625,Bacteria_unclassified,normal,1044041.6319511062,-0.2750796977926443,2.82947779013094e-4,0.02460908149538987,butyrate,norm_reg
Otu00811,Clostridiales_unclassified,normal,1041477.2854797109,-0.2719478819495619,3.3391726278792253e-4,0.02460908149538987,butyrate,norm_reg
Otu00452,Oscillibacter,normal,1035270.9184773684,-0.2643680955506724,4.94539915506655e-4,0.02581498358944739,butyrate,norm_reg
Otu00007,Faecalibacterium,normal,608530.984328477,0.25680597415932127,7.235096691864368e-4,0.02905169594733231,butyrate,norm_reg
Otu00037,Alistipes,normal,1030249.8624950164,-0.2582359200237132,6.73862890439215e-4,0.02905169594733231,butyrate,norm_reg
Otu00334,Clostridiales_unclassified,normal,1030534.904105055,-0.258584039063092,6.622612089494378e-4,0.02905169594733231,butyrate,norm_reg
Otu00659,Firmicutes_unclassified,normal,1023938.8187204472,-0.2505282927198139,9.838706580451548e-4,0.036251232860508104,butyrate,norm_reg
Otu00746,Ruminococcaceae_unclassified,normal,1022969.399866033,-0.249344349223604,0.0010417020936927617,0.036251232860508104,butyrate,norm_reg
Otu01114,Ruminococcaceae_unclassified,normal,1021296.5853024415,-0.2473013541715568,0.001148874416123646,0.03748202782603395,butyrate,norm_reg
Otu00001,Blautia,normal,622341.5603593568,0.23993922807096088,0.001624279779201197,0.04779383292791654,butyrate,norm_reg
Otu00435,Ruminococcaceae_unclassified,normal,1015011.4117572111,-0.2396253219719116,0.001648063204410915,0.04779383292791654,butyrate,norm_reg
Otu00144,Clostridiales_unclassified,normal,1121839.7959725352,-0.3700939735010597,6.787098682214176e-7,3.5428655121157995e-4,propionate,norm_reg
Otu00043,Ruminococcaceae_unclassified,normal,1089687.3543138746,-0.33082645356815676,1.0513061050099252e-5,0.002743908934075905,propionate,norm_reg
Otu00693,Proteobacteria_unclassified,normal,1075129.66049139,-0.31304725849425663,3.231869693515743e-5,0.005623453266717393,propionate,norm_reg
Otu00309,Ruminococcaceae_unclassified,normal,1066935.6002913204,-0.3030399182849643,5.8975575703993026e-5,0.006178830481408146,propionate,norm_reg
Otu00369,Clostridiales_unclassified,normal,1064342.462506739,-0.2998729398412797,7.102104001618558e-5,0.006178830481408146,propionate,norm_reg
Otu00392,Firmicutes_unclassified,normal,1065800.4469112584,-0.3016535645376596,6.399114376940649e-5,0.006178830481408146,propionate,norm_reg
Otu00746,Ruminococcaceae_unclassified,normal,1059441.1883957854,-0.29388705295618045,1.0032695032610157e-4,0.007481524010032146,propionate,norm_reg
Otu00001,Blautia,normal,580173.2513593129,0.29143904670915183,1.1530009925205872e-4,0.007523331476196831,propionate,norm_reg
Otu00728,Clostridium_IV,normal,1053137.4191793574,-0.2861883100119777,1.5473028954994387e-4,0.008974356793896745,propionate,norm_reg
Otu00482,Lachnospiraceae_unclassified,normal,1051099.190586107,-0.2836990377270624,1.7752922931423375e-4,0.009267025770203002,propionate,norm_reg
Otu00072,Lachnospiraceae_unclassified,normal,1047225.2432643647,-0.2789678168359558,2.2972245877663335e-4,0.010901374861945692,propionate,norm_reg
Otu00241,Pseudomonas,normal,602586.8725954931,0.264065470294523,5.022362786854547e-4,0.02184727812281728,propionate,norm_reg
Otu00316,Firmicutes_unclassified,normal,1029734.2334412568,-0.2576061863829077,6.953268164698811e-4,0.027920046015175226,propionate,norm_reg
Otu00093,Lachnospiraceae_unclassified,normal,1027874.5732642757,-0.25533499827709366,7.780764669359644e-4,0.029011136838612388,propionate,norm_reg
Otu01139,Clostridia_unclassified,normal,1023619.7736348893,-0.2501386455076476,0.0010025699466283929,0.03488943414266807,propionate,norm_reg
Otu00082,Blautia,normal,618175.2850414529,0.2450274668065622,0.001279970637226356,0.039302627801891636,propionate,norm_reg
Otu00334,Clostridiales_unclassified,normal,1019786.8169299783,-0.24545748612914967,0.0012541755896315885,0.039302627801891636,propionate,norm_reg
Otu00043,Ruminococcaceae_unclassified,adenoma,918152.5385986007,-0.3200950923030259,3.482957928819368e-5,0.005405521519895174,acetate,adn_reg
Otu00049,Ruminococcaceae_unclassified,adenoma,477334.78302234947,0.31370085256736047,5.074457956686808e-5,0.005405521519895174,acetate,adn_reg
Otu00167,Clostridiales_unclassified,adenoma,475178.4882905088,0.31680111529429944,4.2326045038406355e-5,0.005405521519895174,acetate,adn_reg
Otu00536,Ruminococcaceae_unclassified,adenoma,913464.3218917033,-0.3133545000743377,5.177702605263576e-5,0.005405521519895174,acetate,adn_reg
Otu00709,Clostridiales_unclassified,adenoma,916883.200194499,-0.318270071593195,3.881285382970077e-5,0.005405521519895174,acetate,adn_reg
